Nome completo do colaborador;Departamento/time;E-mail;ID do certificado;Tipo do certificado;Nome do certificado;Instituição emissora;Área de conhecimento;Data de conclusão;Data de vencimento (se aplicável);Carga horária (se aplicável);Modalidade do curso;Obrigatoriedade de certificado;Categoria do conhecimento obtido;Upload do certificado (arquivo);Observações (opcional)
Enzo Moraes;Atendimento ao cliente / Suporte;gcardoso@fernandes.org;31556e34-5363-4f38-b1de-963a57d81573;Treinamento Interno;A certeza de realizar seus sonhos naturalmente;Nunes Pereira S.A.;QA / Testes;2024-06-13;2026-06-02;12;Híbrido;Sim;DADO_INVALIDO;soluta.pdf;Ipsum amet exercitationem omnis amet voluptas ipsam.
Yasmin Azevedo;Jurídico;stella31@barbosa.br;28ed45ab-9134-488b-8207-da4512baa4f7;Certificação externa;O prazer de conseguir antes de tudo;Nogueira;Liderança;2024-07-25;;20;Presencial;Não;Normativo / Regulatórios;dignissimos.pdf;
Ana Carolina Sales;Design UX/UI;catarina11@pinto.br;dcc44fdd-783c-4246-8a1a-7ba2ecfaa86a;Treinamento Interno;A vantagem de evoluir antes de tudo;Aragão;Liderança;2024-06-04;;40;Presencial;Sim;Gestão / Liderança;vero.pdf;
Emanuel Moreira;Produtos;opires@da.net;0b52dce0-acdd-417c-a1e3-602fe7a1b123;Certificação externa;A segurança de ganhar com toda a tranquilidade;Ramos Ltda.;Automação de Processos / Arquitetura de Soluções;2024-10-24;2025-05-26;4;Presencial;Não;Normativo / Regulatórios;perspiciatis.pdf;Autem ducimus sapiente vel iure mollitia.
Srta. Marina Santos;Administrativo;bda-conceicao@silveira.org;571c9da3-08c2-4340-acfd-6e46a00788bd;Certificação externa;A segurança de mudar mais facilmente;Barbosa S.A.;Projetos / Scrum / Agile;2024-09-07;;80;Online gravado / EAD;Não;Técnica / Operacional;velit.pdf;
Maria Clara Duarte;Tecnologia da Informação (TI);rodriguesana@gmail.com;ca608c48-e412-4ad7-ae55-4bdc0c6c8eca;Treinamento Interno;A arte de atingir seus objetivos com força total;Santos - EI;Investimentos;2023-12-11;2026-02-06;20;Híbrido;Sim;Gestão / Liderança;porro.pdf;
Vinicius da Mata;Recursos Humanos (RH);luiz-gustavoporto@peixoto.net;8b9c3252-bf91-4845-ad2c-eea5a4ba513c;Certificação externa;A arte de avançar com toda a tranquilidade;da Costa;Operações Administrativas / Processos;2024-06-12;2026-03-12;20;Online ao vivo;Sim;Cultura e Valores da Empresa;iste.pdf;
Yuri Ribeiro;Vendas;da-conceicaomarcos-vinicius@bol.com.br;ae426750-2a83-4e99-9eb3-1f03e8500f15;Certificação externa;O conforto de inovar mais facilmente;Sales Fogaça S.A.;Infraestrutura de TI;2024-08-25;2026-10-19;4;Online ao vivo;Não;Cultura e Valores da Empresa;incidunt.pdf;
Isabella Barbosa;Design UX/UI;lucas-gabrielfarias@yahoo.com.br;fde048f3-6076-4729-9595-4a1451559f77;Certificação externa;A segurança de concretizar seus projetos sem preocupação;da Mata Novaes - EI;Investimentos;2023-06-05;2025-05-29;;Online ao vivo;Não;Normativo / Regulatórios;modi.pdf;
Davi Cavalcanti;Marketing;noahteixeira@da.com;a9ab46b5-f0b5-4032-98a9-838afb13c5a1;Certificação externa;A vantagem de realizar seus sonhos antes de tudo;Santos;Finanças / Contabilidade;2024-09-20;2026-01-17;12;Presencial;Sim;Técnica / Operacional;perspiciatis.pdf;
Dra. Olivia Barros;Compliance / Governança;brunaramos@hotmail.com;cf4f5d2e-1217-4f9e-b491-190f44b4a9d4;Treinamento Interno;A certeza de concretizar seus projetos em estado puro;Rocha da Rosa - EI;Automação de Processos / Arquitetura de Soluções;2024-05-24;2026-08-30;8;Online gravado / EAD;Não;Técnica / Operacional;voluptatibus.pdf;Maxime delectus quaerat voluptate.
